transaction_id,order_date,ship_date,customer_id,product_sku,store_id,quantity,unit_price,gross_sales,discount_rate,discount_amount,net_sales,total_cost,shipping_cost,profit,profit_margin_pct,order_status_raw,order_status_clean_reference,payment_method_raw,payment_method_clean_reference,shipping_mode_raw,shipping_mode_clean_reference,promo_name_raw,sales_rep_raw,customer_rating,data_quality_note
TRX-001143,2025-01-29,2025-01-30,CUST-02597,SKU-0024,STR-055,1,642.47,642.47,0.0,0.0,642.47,461.03,17.96,163.48,25.45,Completed,Completed,PayPal,PayPal,Standard,Standard,No Promo,Jamie Wilson,4,
TRX-004710,2025-02-17,2025-02-18,CUST-00456,SKU-0098,STR-033,4,370.82,1483.28,0.0,0.0,1483.28,1171.86,30.72,280.7,18.92,Completed,Completed,Cash,Cash,Standard,Standard,No Promo,Casey Hill,5,
TRX-000056,2025-11-27,2025-11-28,CUST-00833,SKU-0149,STR-062,1,390.19,390.19,0.15,58.53,331.66,264.09,18.89,48.68,14.68,done,Completed, Transfer ,Bank Transfer,Standard,Standard,Holiday Deals,Jordan Lewis,5,
TRX-003862,2024-12-19,2024-12-22,CUST-00794,SKU-0108,STR-077,1,570.25,570.25,0.15,85.54,484.71,382.26,46.11,56.34,11.62,COMPLETED,Completed,Cash,Cash,Same Day,Same Day,Black Friday,Taylor Brooks,3,
TRX-007002,2024-04-30,2024-05-05,CUST-00091,SKU-0042,STR-084,1,759.35,759.35,0.0,0.0,759.35,491.04,27.83,240.48,31.67,Completed,Completed,Debit Card,Debit Card,Second Class,Second Class,No Promo,Jamie Wilson,3,
TRX-007352,2024-12-18,2024-12-22,CUST-00122,SKU-0133,STR-034,1,803.51,803.51,0.05,40.18,763.33,719.44,33.84,10.05,1.32,Completed,Completed,Cash,Cash,First Class,First Class,Black Friday,Casey Hill,5,
TRX-001795,2024-12-22,2024-12-29,CUST-01567,SKU-0117,STR-032,1,591.23,591.23,0.2,118.25,472.98,378.87,46.64,47.47,10.04,Completed,Completed,Cash,Cash,Same Day,Same Day,Black Friday,Casey Hill,2,
TRX-010613,2024-03-07,2024-03-14,CUST-02448,SKU-0154,STR-001,1,645.29,645.29,0.0,0.0,645.29,393.37,22.13,229.79,35.61,Completed,Completed,Pay Later,Buy Now Pay Later,Standard,Standard,No Promo,Jamie Wilson,4,
TRX-002486,2025-05-23,2025-05-25,CUST-01847,SKU-0016,STR-081,1,968.75,968.75,0.0,0.0,968.75,764.82,20.31,183.62,18.95,Completed,Completed,Credit Card,Credit Card,Standard,Standard,No Promo,Morgan Clark,4,
TRX-005522,2025-11-11,2025-11-12,CUST-00216,SKU-0112,STR-064,4,860.72,3442.88,0.1,344.29,3098.59,2434.11,24.54,639.94,20.65,Completed,Completed,Buy Now Pay Later,Buy Now Pay Later,Standard,Standard,Holiday Deals,Alex Reed,5,
TRX-005675,2024-06-28,2024-07-02,CUST-01410,SKU-0153,STR-078,2,204.08,408.17,0.0,0.0,408.17,254.26,27.24,126.67,31.03,Completed,Completed,Cash,Cash,standard,Standard,No Promo,Jamie Wilson,2,
TRX-004786,2025-03-15,2025-03-16,CUST-00324,SKU-0045,STR-080,2,1180.01,2360.03,0.0,0.0,2360.03,1446.7,30.46,882.87,37.41,Completed,Completed,CASH,Cash,2nd Class,Second Class,No Promo,Alex Reed,5,
TRX-006743,2024-09-18,2024-09-22,CUST-02350,SKU-0182,STR-069,1,465.53,465.53,0.0,0.0,465.53,346.35,20.76,98.42,21.14,Completed,Completed,Credit Card,Credit Card, Standard ,Standard,No Promo,Morgan Clark,3,
TRX-011182,2024-12-01,2024-12-02,CUST-00920,SKU-0036,STR-033,1,134.79,134.79,0.15,20.22,114.57,84.08,33.08,-2.59,-2.26,Completed,Completed,Credit Card,Credit Card,First Class,First Class,Holiday Deals,Jordan Lewis,1,
TRX-000747,2025-11-26,2025-12-01,CUST-01916,SKU-0001,STR-021,1,894.83,894.83,0.25,223.71,671.12,642.26,36.22,-7.36,-1.1,Complete,Completed,Bank Transfer,Bank Transfer,First Class,First Class,Holiday Deals,Jamie Wilson,5,
TRX-004217,2025-01-14,2025-01-21,CUST-01530,SKU-0173,STR-072,2,1802.26,3604.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cancelled,Cancelled,Bank Transfer,Bank Transfer,standard,Standard,No Promo,,5,trim_spaces
TRX-000059,2025-12-26,2026-01-02,CUST-01548,SKU-0145,STR-034,2,312.18,624.36,0.2,124.87,499.49,483.04,26.04,-9.59,-1.92,Completed,Completed,Debit,Debit Card,Standard,Standard,Black Friday,Jamie Wilson,4,standardize_text
TRX-001089,2025-03-06,2025-03-10,CUST-01267,SKU-0189,STR-085,2,384.3,768.61,0.03,23.06,745.55,472.26,28.22,245.07,32.87,Completed,Completed,PayPal,PayPal,Second Class,Second Class,Member Discount,Alex Reed,4,
TRX-012356,2024-12-12,2024-12-14,CUST-01663,SKU-0078,STR-067,2,61.74,123.49,0.25,30.87,-92.62,-60.89,28.4,-67.54,0.0,Returned,Returned,Debit,Debit Card,Second Class,Second Class,Black Friday,Alex Reed,4,
TRX-007739,2025-11-19,2025-11-21,CUST-00237,SKU-0038,STR-017,3,46.28,138.85,0.1,13.88,124.97,84.62,53.8,-13.45,-10.76,done,Completed,PayPal,PayPal, Same Day ,Same Day,Cyber Week,Jordan Lewis,4,
TRX-007163,2024-09-09,2024-09-11,CUST-01429,SKU-0080,STR-051,1,137.88,137.88,0.0,0.0,137.88,100.5,20.34,17.04,12.36,Completed,Completed,Buy Now Pay Later,Buy Now Pay Later,standard,Standard,No Promo,,5,
TRX-003761,2024-04-11,2024-04-15,CUST-00817,SKU-0040,STR-049,2,112.12,224.23,0.0,0.0,224.23,173.77,48.87,1.59,0.71,Completed,Completed,Wire Transfer,Bank Transfer,Same Day,Same Day,No Promo,Jamie Wilson,4,
TRX-001110,2025-05-15,2025-05-19,CUST-02202,SKU-0116,STR-057,1,990.51,990.51,0.05,49.53,940.98,846.95,19.99,74.04,7.87,Done,Completed,Credit Card,Credit Card,Standard,Standard,Weekend Deal,Casey Hill,4,
TRX-011606,2025-11-25,2025-11-26,CUST-00958,SKU-0109,STR-048,1,372.95,372.95,0.2,74.59,298.36,305.03,20.31,-26.98,-9.04,done,Completed,Buy Now Pay Later,Buy Now Pay Later,Standard,Standard,Cyber Week,,5,
TRX-009510,2025-12-08,2025-12-13,CUST-02405,SKU-0119,STR-080,3,782.11,2346.33,0.1,234.63,2111.7,2036.5,29.7,45.5,2.15, Completed ,Completed,Debit Card,Debit Card,Standard,Standard,Holiday Deals,Morgan Clark,4,
TRX-004374,2025-12-07,2025-12-09,CUST-02224,SKU-0008,STR-067,3,1777.13,5331.4,0.2,1066.28,4265.12,3535.83,33.29,696.0,16.32,Completed,Completed,Debit Card,Debit Card,Standard,Standard,Holiday Deals,Alex Reed,4,check_status
TRX-012158,2024-05-28,2024-06-01,CUST-00196,SKU-0194,STR-010,1,115.85,115.85,0.0,0.0,115.85,81.45,21.23,13.17,11.37,Completed,Completed,Cash,Cash,standard,Standard,No Promo,Alex Reed,4,
TRX-006173,2025-11-29,2025-12-04,CUST-01169,SKU-0111,STR-015,1,872.56,872.56,0.1,87.26,-785.3,-455.62,21.33,-413.83,0.0,Returned,Returned,Debit Card,Debit Card,Standard,Standard,Cyber Week,Jamie Wilson,5,
TRX-009271,2025-08-07,2025-08-08,CUST-01871,SKU-0046,STR-054,2,1013.91,2027.83,0.0,0.0,2027.83,1313.87,25.48,688.48,33.95,Completed,Completed,Debit Card,Debit Card,Second Class,Second Class,No Promo,Riley Adams,4,
TRX-012121,2024-10-08,2024-10-13,CUST-02381,SKU-0114,STR-085,2,451.49,902.99,0.0,0.0,902.99,569.86,24.17,308.96,34.22,Completed,Completed,Cash,Cash,Standard,Standard,No Promo,Taylor Brooks,5,
TRX-002540,2025-11-12,2025-11-17,CUST-01918,SKU-0114,STR-008,2,448.85,897.7,0.05,44.89,852.81,580.34,21.72,250.75,29.4,Completed,Completed,Debit Card,Debit Card,Standard,Standard,Holiday Deals,Taylor Brooks,2,trim_spaces
TRX-009349,2025-06-26,2025-06-30,CUST-01782,SKU-0106,STR-083,1,328.69,328.69,0.0,0.0,328.69,284.73,23.38,20.58,6.26,Done,Completed,Credit Card,Credit Card,Standard,Standard,No Promo,,5,
TRX-002202,2024-07-04,2024-07-07,CUST-00710,SKU-0162,STR-003,3,2287.53,6862.6,0.05,343.13,6519.47,4151.29,24.04,2344.14,35.96,Completed,Completed,Credit Card,Credit Card,Standard,Standard,Clearance Sale,,4,
TRX-011318,2025-05-13,2025-05-16,CUST-01874,SKU-0081,STR-012,3,1873.45,5620.34,0.0,0.0,5620.34,3864.36,29.43,1726.55,30.72,Completed,Completed,Cash,Cash,Standard,Standard,No Promo,Jordan Lewis,3,trim_spaces
TRX-006035,2024-09-18,2024-09-22,CUST-01775,SKU-0051,STR-033,6,948.11,5688.66,0.0,0.0,5688.66,3322.26,38.56,2327.84,40.92,Completed,Completed,Cash,Cash,2nd Class,Second Class,No Promo,Alex Reed,4,
TRX-007803,2025-03-22,2025-03-27,CUST-02325,SKU-0199,STR-078,2,208.94,417.87,0.0,0.0,-417.87,-178.54,24.58,-297.34,0.0,Returned,Returned,Credit Card,Credit Card,Standard,Standard,No Promo,Jordan Lewis,5,
TRX-009316,2024-08-21,2024-08-28,CUST-01520,SKU-0141,STR-046,2,412.91,825.82,0.03,24.77,-801.05,-396.65,24.53,-493.01,0.0,Returned,Returned,Debit Card,Debit Card,Second Class,Second Class,Member Discount,Jamie Wilson,5,
TRX-005887,2024-12-29,2024-12-31,CUST-00550,SKU-0136,STR-086,3,1590.59,4771.77,0.25,1192.94,3578.83,3145.74,27.78,405.31,11.33,completed,Completed,Debit Card,Debit Card,Second Class,Second Class, Holiday Deals ,Riley Adams,1,check_status
TRX-008959,2025-03-27,2025-03-30,CUST-00354,SKU-0011,STR-058,1,1716.06,1716.06,0.0,0.0,1716.06,1197.11,16.91,502.04,29.26,Completed,Completed,Debit Card,Debit Card,Standard,Standard,No Promo,Jordan Lewis,5,
TRX-008353,2025-09-08,2025-09-13,CUST-00479,SKU-0094,STR-077,1,734.66,734.66,0.03,22.04,712.62,495.32,19.04,198.26,27.82,done,Completed,Debit Card,Debit Card,standard,Standard,Weekend Deal,Taylor Brooks,4,
TRX-002423,2024-03-29,2024-03-30,CUST-01966,SKU-0161,STR-025,2,1696.61,3393.21,0.0,0.0,3393.21,2292.9,21.24,1079.07,31.8,Completed,Completed,Cash,Cash,STD,Standard,No Promo,Riley Adams,4,
TRX-001377,2025-01-29,2025-02-01,CUST-02460,SKU-0102,STR-032,1,691.86,691.86,0.0,0.0,691.86,382.36,20.9,288.6,41.71, Completed ,Completed,Credit Card,Credit Card,Standard,Standard,No Promo,Jordan Lewis,4,
TRX-005749,2025-07-20,2025-07-22,CUST-00740,SKU-0093,STR-051,2,62.0,123.99,0.1,12.4,111.59,90.54,24.89,-3.84,-3.44,Completed,Completed,Credit Card,Credit Card,Standard,Standard,Summer Sale,Taylor Brooks,5,
TRX-005188,2025-04-29,2025-05-06,CUST-00559,SKU-0061,STR-057,2,358.09,716.18,0.0,0.0,716.18,472.91,20.44,222.83,31.11,Completed,Completed,Cash,Cash,Standard,Standard,No Promo,Casey Hill,4,
TRX-010475,2024-06-22,2024-06-27,CUST-01873,SKU-0122,STR-026,1,2440.03,2440.03,0.0,0.0,-2440.03,-1395.56,31.61,-1271.28,0.0,Returned,Returned,Buy Now Pay Later,Buy Now Pay Later,First Class,First Class,No Promo,Riley Adams,5,
TRX-004251,2025-10-06,2025-10-13,CUST-02305,SKU-0054,STR-058,2,1208.39,2416.78,0.0,0.0,2416.78,1655.85,31.97,728.96,30.16,Completed,Completed,Credit Card,Credit Card, Second Class ,Second Class,no promo,Taylor Brooks,2,
TRX-008922,2024-10-02,2024-10-04,CUST-01257,SKU-0184,STR-063,1,282.12,282.12,0.0,0.0,282.12,166.09,23.86,92.17,32.67,Completed,Completed,PayPal,PayPal,Second Class,Second Class,No Promo,Taylor Brooks,5,possible_duplicate
TRX-005558,2025-07-20,2025-07-21,CUST-01410,SKU-0159,STR-088,3,240.8,722.4,0.05,36.12,686.28,604.78,26.64,54.86,7.99,Completed,Completed,PayPal,PayPal,Standard,Standard,Clearance Sale,Riley Adams,5,
TRX-007679,2024-11-17,2024-11-20,CUST-01006,SKU-0124,STR-062,2,2806.84,5613.67,0.25,1403.42,4210.25,3349.61,31.17,829.47,19.7,Completed,Completed,Cash,Cash,Second Class,Second Class,Black Friday,Jamie Wilson,5,
TRX-009472,2025-11-22,2025-11-25,CUST-01788,SKU-0025,STR-066,1,262.66,262.66,0.2,52.53,210.13,176.64,35.24,-1.75,-0.83,Completed,Completed,Debit Card,Debit Card,First Class,First Class,Cyber Week,Taylor Brooks,2,
TRX-003936,2025-03-11,2025-03-18,CUST-00038,SKU-0042,STR-082,1,784.86,784.86,0.0,0.0,784.86,495.95,22.63,266.28,33.93,Completed,Completed,Bank Transfer,Bank Transfer,Standard,Standard,No Promo,Alex Reed,4,
TRX-003473,2024-07-27,2024-07-29,CUST-01885,SKU-0066,STR-069,1,143.07,143.07,0.15,21.46,121.61,94.1,19.86,7.65,6.29,Completed,Completed,Debit Card,Debit Card,STD,Standard,Summer Sale,Taylor Brooks,5,
TRX-002958,2025-03-05,2025-03-10,CUST-01699,SKU-0197,STR-026,1,239.87,239.87,0.0,0.0,239.87,185.74,21.17,32.96,13.74,Completed,Completed,Cash,Cash,Standard,Standard,No Promo,Riley Adams,4,possible_duplicate
TRX-012498,2024-05-15,2024-05-20,CUST-02195,SKU-0100,STR-006,1,710.5,710.5,0.0,0.0,710.5,470.07,34.83,205.6,28.94,Completed,Completed,Buy Now Pay Later,Buy Now Pay Later,First Class,First Class,No Promo,Alex Reed,5,
TRX-012010,2024-03-29,2024-04-05,CUST-01439,SKU-0107,STR-034,1,562.44,562.44,0.0,0.0,562.44,441.16,20.76,100.52,17.87,COMPLETED,Completed,PayPal,PayPal,Standard,Standard, No Promo ,,5,
TRX-007955,2025-09-06,2025-09-08,CUST-00942,SKU-0024,STR-078,1,540.24,540.24,0.0,0.0,-540.24,-310.69,25.4,-298.17,0.0,Return,Returned,Debit Card,Debit Card,Second Class,Second Class,no promo,Alex Reed,5,
TRX-005791,2024-11-29,2024-12-01,CUST-01586,SKU-0030,STR-057,1,246.21,246.21,0.15,36.93,209.28,169.27,22.52,17.49,8.36,Completed,Completed,PayPal,PayPal,Second Class,Second Class,Black Friday,,5,trim_spaces
TRX-004812,2024-06-02,2024-06-03,CUST-02217,SKU-0045,STR-042,1,1018.23,1018.23,0.0,0.0,1018.23,705.41,20.17,292.65,28.74,Done,Completed,Credit Card,Credit Card,Standard,Standard,No Promo,Jamie Wilson,4,
TRX-000235,2024-09-18,2024-09-25,CUST-00074,SKU-0057,STR-038,3,238.71,716.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Canceled,Cancelled,Bank Transfer,Bank Transfer,Standard,Standard,No Promo,Jamie Wilson,5,
TRX-006594,2025-12-09,2025-12-13,CUST-02252,SKU-0057,STR-035,1,200.96,200.96,0.15,30.14,170.82,150.46,21.28,-0.92,-0.54,Completed,Completed,Bank Transfer,Bank Transfer,Standard,Standard,Holiday Deals,Riley Adams,1,trim_spaces
TRX-007441,2025-02-17,2025-02-19,CUST-00789,SKU-0160,STR-073,2,584.3,1168.6,0.05,58.43,1110.17,980.82,27.7,101.65,9.16,Completed,Completed,Debit Card,Debit Card,Standard,Standard,Flash Sale,Jamie Wilson,4,
TRX-012170,2025-06-16,2025-06-18,CUST-02078,SKU-0100,STR-072,1,600.15,600.15,0.0,0.0,600.15,457.24,34.79,108.12,18.02,Completed,Completed,Cash,Cash,1st Class,First Class,No Promo,Morgan Clark,5,
TRX-001916,2025-07-20,2025-07-25,CUST-01517,SKU-0007,STR-051,1,1133.13,1133.13,0.1,113.31,1019.82,892.05,29.66,98.11,9.62,Completed,Completed,Bank Transfer,Bank Transfer,First Class,First Class,Clearance Sale,Jordan Lewis,5,
TRX-008619,2025-09-17,2025-09-20,CUST-02011,SKU-0133,STR-017,2,837.32,1674.64,0.0,0.0,1674.64,1386.65,22.98,265.01,15.82,Completed,Completed,Debit Card,Debit Card,STD,Standard,No Promo,,2,
TRX-003931,2025-11-03,2025-11-08,CUST-02013,SKU-0112,STR-028,6,921.36,5528.15,0.2,1105.63,-4422.52,-2603.26,37.22,-2210.28,0.0,Returned,Returned,Credit Card,Credit Card,Standard,Standard,Black Friday,Riley Adams,3,
TRX-008489,2024-04-29,2024-05-03,CUST-00529,SKU-0192,STR-001,1,226.22,226.22,0.0,0.0,226.22,136.63,34.42,55.17,24.39,Completed,Completed,Bank Transfer,Bank Transfer,First Class,First Class,No Promo,,2,possible_duplicate
TRX-000665,2024-12-08,2024-12-09,CUST-01896,SKU-0057,STR-002,1,229.74,229.74,0.1,22.97,206.77,142.12,30.26,34.39,16.63,done,Completed,Bank Transfer,Bank Transfer,Second Class,Second Class,Cyber Week,Taylor Brooks,4,
TRX-004549,2025-01-14,2025-01-19,CUST-00901,SKU-0167,STR-050,1,563.52,563.52,0.0,0.0,563.52,442.95,19.08,101.49,18.01,Completed,Completed,Bank Transfer,Bank Transfer,Standard,Standard,No Promo,Jamie Wilson,3,
TRX-004400,2024-06-24,2024-06-27,CUST-02019,SKU-0161,STR-036,1,1825.37,1825.37,0.0,0.0,1825.37,1166.05,17.99,641.33,35.13,done,Completed,BNPL,Buy Now Pay Later,Standard,Standard,No Promo,Morgan Clark,4,
TRX-008669,2024-11-18,2024-11-21,CUST-00008,SKU-0182,STR-001,5,466.73,2333.67,0.05,116.68,2216.99,1711.51,54.88,450.6,20.32,Completed,Completed,paylater,Buy Now Pay Later,First Class,First Class,Black Friday,Taylor Brooks,5,
TRX-009833,2024-11-04,2024-11-09,CUST-00038,SKU-0088,STR-016,1,1440.28,1440.28,0.15,216.04,1224.24,967.41,49.33,207.5,16.95,done,Completed,Cash,Cash,Same Day,Same Day,Black Friday,Morgan Clark,4,
TRX-008717,2025-08-23,2025-08-25,CUST-02572,SKU-0162,STR-089,3,2048.42,6145.27,0.0,0.0,6145.27,4030.09,32.14,2083.04,33.9,Completed,Completed,Cash,Cash,Standard,Standard,No Promo,Riley Adams,4,
TRX-010772,2025-03-09,2025-03-11,CUST-01430,SKU-0047,STR-074,4,987.86,3951.44,0.0,0.0,3951.44,2645.36,38.9,1267.18,32.07,Completed,Completed,Debit,Debit Card,Standard,Standard,No Promo,Casey Hill,2,
TRX-011593,2025-12-06,2025-12-13,CUST-01435,SKU-0036,STR-001,1,141.39,141.39,0.2,28.28,-113.11,-62.27,28.94,-88.83,0.0,Returned,Returned,Buy Now Pay Later,Buy Now Pay Later, Second Class ,Second Class,Black Friday,Casey Hill,2,
TRX-003049,2024-07-24,2024-07-27,CUST-00428,SKU-0070,STR-026,2,558.89,1117.78,0.15,167.67,950.11,707.47,32.13,210.51,22.16,Completed,Completed,Cash,Cash,Second Class,Second Class,Summer Sale,,5,
TRX-009959,2025-09-26,2025-09-30,CUST-01723,SKU-0050,STR-007,3,1431.6,4294.81,0.0,0.0,4294.81,2971.17,35.92,1287.72,29.98,Completed,Completed,Buy Now Pay Later,Buy Now Pay Later,Second Class,Second Class,No Promo,,1,
TRX-004868,2024-01-22,2024-01-27,CUST-01033,SKU-0029,STR-068,1,607.49,607.49,0.0,0.0,607.49,372.39,19.27,215.83,35.53,Completed,Completed,bank transfer,Bank Transfer,Standard,Standard,No Promo,,5,trim_spaces
TRX-011667,2024-12-20,2024-12-21,CUST-02185,SKU-0171,STR-057,1,2653.54,2653.54,0.1,265.35,2388.19,2015.04,19.89,353.26,14.79,Completed,Completed,Debit Card,Debit Card,Standard,Standard,Black Friday,Alex Reed,4,
TRX-007809,2025-05-01,2025-05-06,CUST-01246,SKU-0169,STR-041,1,1721.48,1721.48,0.0,0.0,1721.48,1075.86,18.04,627.58,36.46, Completed ,Completed,PayPal,PayPal,Standard,Standard,No Promo,Alex Reed,4,
TRX-001212,2024-12-19,2024-12-26,CUST-01237,SKU-0066,STR-029,1,147.86,147.86,0.25,36.97,110.89,93.33,24.95,-7.39,-6.66,Completed,Completed,Cash,Cash,Second Class,Second Class,Cyber Week,Jamie Wilson,3,trim_spaces
TRX-012077,2025-07-18,2025-07-25,CUST-00361,SKU-0188,STR-041,2,140.18,280.36,0.05,14.02,266.34,173.1,26.27,66.97,25.14,Completed,Completed,Bank Transfer,Bank Transfer,Standard,Standard,Summer Sale,Alex Reed,5,
TRX-009719,2025-03-24,2025-03-31,CUST-00329,SKU-0029,STR-050,1,594.07,594.07,0.0,0.0,594.07,382.64,16.84,194.59,32.76,COMPLETED,Completed,Credit Card,Credit Card,Standard,Standard,No Promo,Jordan Lewis,4,
TRX-010968,2025-03-10,2025-03-13,CUST-01034,SKU-0140,STR-059,2,500.69,1001.37,0.0,0.0,1001.37,870.87,24.28,106.22,10.61,Complete,Completed,CASH,Cash,Standard,Standard,No Promo,Morgan Clark,4,
TRX-009691,2025-11-20,2025-11-23,CUST-00589,SKU-0024,STR-073,1,536.22,536.22,0.15,80.43,-455.79,-325.35,28.66,-195.56,0.0,Returned,Returned, Credit Card ,Credit Card,2nd Class,Second Class,Black Friday,Casey Hill,4,
TRX-000347,2025-04-21,2025-04-25,CUST-00694,SKU-0188,STR-008,4,125.95,503.78,0.0,0.0,503.78,359.64,31.75,112.39,22.31,Completed,Completed,cash,Cash,Standard,Standard,no promo,Riley Adams,4,possible_duplicate
TRX-010599,2024-01-06,2024-01-08,CUST-01147,SKU-0037,STR-020,1,76.59,76.59,0.08,6.13,70.46,63.77,30.2,-23.51,-33.37,Complete,Completed,Bank Transfer,Bank Transfer,Second Class,Second Class,Flash Sale,Alex Reed,5,standardize_text
TRX-006071,2025-02-06,2025-02-10,CUST-00240,SKU-0090,STR-072,2,1173.15,2346.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cancelled,Cancelled,Cash,Cash,First Class,First Class,No Promo,Taylor Brooks,4,
TRX-010637,2025-12-16,2025-12-21,CUST-01188,SKU-0108,STR-044,1,618.16,618.16,0.15,92.72,0.0,0.0,0.0,0.0,0.0,Cancelled,Cancelled,Debit Card,Debit Card,Standard,Standard,Holiday Deals,Riley Adams,1,
TRX-008880,2025-08-18,2025-08-20,CUST-00648,SKU-0001,STR-086,1,744.94,744.94,0.05,37.25,707.69,663.97,17.79,25.93,3.66,Completed,Completed,PayPal,PayPal,Standard,Standard,Member Discount,Taylor Brooks,5,
TRX-008397,2025-12-03,2025-12-06,CUST-02384,SKU-0032,STR-070,1,235.89,235.89,0.2,47.18,188.71,167.99,26.53,-5.81,-3.08,COMPLETED,Completed,Debit Card,Debit Card,Second Class,Second Class,Cyber Week,Riley Adams,3,check_status
TRX-008858,2025-07-09,2025-07-13,CUST-02117,SKU-0088,STR-044,1,1234.87,1234.87,0.05,61.74,1173.13,971.58,33.5,168.05,14.32,Completed,Completed,Cash,Cash,First Class,First Class,Summer Sale,Jamie Wilson,4,standardize_text
TRX-012405,2024-06-10,2024-06-11,CUST-02554,SKU-0195,STR-033,2,165.14,330.28,0.0,0.0,330.28,264.89,25.12,40.27,12.19,Completed,Completed,Bank Transfer,Bank Transfer,Standard,Standard,No Promo,Taylor Brooks,4,
TRX-009245,2025-05-29,2025-06-05,CUST-00816,SKU-0068,STR-060,2,102.13,204.25,0.08,16.34,187.91,134.8,20.7,32.41,17.25,Completed,Completed,CC,Credit Card,Standard,Standard,Weekend Deal,Jamie Wilson,3,
TRX-011210,2024-05-18,2024-05-20,CUST-00636,SKU-0108,STR-078,1,513.89,513.89,0.0,0.0,513.89,369.61,27.33,116.95,22.76,completed,Completed,Buy Now Pay Later,Buy Now Pay Later,second class,Second Class,No Promo,Riley Adams,4,
TRX-002345,2025-09-05,2025-09-12,CUST-00222,SKU-0104,STR-045,4,265.59,1062.37,0.03,31.87,1030.5,885.69,24.32,120.49,11.69,Completed,Completed,Bank Transfer,Bank Transfer,Standard,Standard,Weekend Deal,Jordan Lewis,4,
TRX-000297,2025-05-21,2025-05-23,CUST-02407,SKU-0037,STR-059,1,80.9,80.9,0.0,0.0,80.9,66.25,24.3,-9.65,-11.93,done,Completed,Bank Transfer,Bank Transfer,Second Class,Second Class,No Promo,Jordan Lewis,4,
TRX-012196,2025-01-20,2025-01-25,CUST-01895,SKU-0100,STR-079,3,726.87,2180.61,0.0,0.0,2180.61,1375.25,35.89,769.47,35.29,Completed,Completed,Bank Transfer,Bank Transfer,First Class,First Class,No Promo,,1,duplicate_transaction_id
TRX-004546,2025-09-08,2025-09-10,CUST-01427,SKU-0011,STR-048,1,1526.34,1526.34,0.0,0.0,1526.34,1159.53,31.47,335.34,21.97,Completed,Completed,PayPal,PayPal,First Class,First Class,No Promo,,1,
TRX-009923,2025-02-06,2025-02-08,CUST-02320,SKU-0021,STR-043,1,495.7,495.7,0.0,0.0,495.7,394.0,20.88,80.82,16.3,Completed,Completed,PayPal,PayPal,Standard,Standard, No Promo ,Taylor Brooks,5,
TRX-007513,2024-01-20,2024-01-22,CUST-01449,SKU-0077,STR-012,1,108.32,108.32,0.0,0.0,108.32,72.3,27.68,8.34,7.7,Complete,Completed,Buy Now Pay Later,Buy Now Pay Later,2nd Class,Second Class,No Promo,Taylor Brooks,3,
TRX-010773,2025-02-27,2025-03-06,CUST-02437,SKU-0189,STR-023,3,327.9,983.7,0.0,0.0,983.7,700.38,26.94,256.38,26.06,Completed,Completed,Debit Card,Debit Card,Standard,Standard,no promo,Jordan Lewis,5,
TRX-000514,2025-02-03,2025-02-10,CUST-00484,SKU-0014,STR-066,1,1000.96,1000.96,0.0,0.0,1000.96,830.9,22.14,147.92,14.78,Completed,Completed,Cash,Cash,Standard,Standard,No Promo,Taylor Brooks,2,
TRX-009546,2024-02-18,2024-02-19,CUST-01557,SKU-0181,STR-019,1,614.1,614.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cancelled,Cancelled, Transfer ,Bank Transfer,Second Class,Second Class,No Promo,,4,
TRX-006887,2025-07-19,2025-07-21,CUST-00514,SKU-0048,STR-033,1,1284.25,1284.25,0.15,192.64,1091.61,1014.98,18.99,57.64,5.28,Completed,Completed,Credit Card,Credit Card,Standard,Standard,Clearance Sale,Jamie Wilson,5,
TRX-002722,2024-07-04,2024-07-11,CUST-01161,SKU-0019,STR-016,1,957.14,957.14,0.05,47.86,909.28,744.64,20.72,143.92,15.83,Completed,Completed,Credit Card,Credit Card,Standard,Standard,Summer Sale,Riley Adams,4,
TRX-004927,2024-09-01,2024-09-05,CUST-02158,SKU-0056,STR-053,1,710.73,710.73,0.0,0.0,710.73,570.75,25.73,114.25,16.08,Completed,Completed,Bank Transfer,Bank Transfer,Second Class,Second Class,no promo,Jamie Wilson,5,
TRX-012285,2025-12-22,2025-12-27,CUST-01674,SKU-0076,STR-039,1,141.33,141.33,0.25,35.33,106.0,97.39,18.58,-9.97,-9.41,done,Completed,Cash,Cash,STD,Standard,Holiday Deals,Riley Adams,5,
TRX-002823,2024-03-30,2024-04-01,CUST-00773,SKU-0045,STR-071,1,1025.71,1025.71,0.1,102.57,923.14,730.72,26.79,165.63,17.94,Completed,Completed,Cash,Cash,Second Class,Second Class,Weekend Deal,Casey Hill,5,
TRX-011142,2024-09-12,2024-09-17,CUST-01936,SKU-0110,STR-050,2,479.77,959.53,0.0,0.0,959.53,622.5,27.5,309.53,32.26,Completed,Completed,Bank Transfer,Bank Transfer,Second Class,Second Class,No Promo,Casey Hill,4,
